Sample in Buffer,Sample in Window,TRIGGER,design_1_i/memops_scheduler_1_done_count[4:0],design_1_i/memops_scheduler_1_start_count[4:0],design_1_i/memops_scheduler_1_mst_exec_state[3:0],design_1_i/memops_scheduler_1_ndp_start[7:0],design_1_i/memops_scheduler_1_offset_reg1_valid,design_1_i/memops_scheduler_1_offset_reg2_valid,design_1_i/memops_scheduler_1_vaddr_offset_count[1:0],design_1_i/memops_scheduler_1_offset_read_enable,design_1_i/memops_scheduler_1_ndp_done[7:0]
0,0,0,01,00,0,00,1,1,0,0,00
1,1,0,01,00,0,00,1,1,0,0,00
2,2,0,01,00,0,00,1,1,0,0,00
3,3,0,01,00,0,00,1,1,0,0,00
4,4,0,01,00,0,00,1,1,0,0,00
5,5,0,01,00,0,00,1,1,0,0,00
6,6,0,01,00,0,00,1,1,0,0,00
7,7,0,01,00,0,00,1,1,0,0,00
8,8,0,01,00,0,00,1,1,0,0,00
9,9,0,01,00,0,00,1,1,0,0,00
10,10,0,01,00,0,00,1,1,0,0,00
11,11,0,01,00,0,00,1,1,0,0,00
12,12,0,01,00,0,00,1,1,0,0,00
13,13,0,01,00,0,00,1,1,0,0,00
14,14,0,01,00,0,00,1,1,0,0,00
15,15,0,01,00,0,00,1,1,0,0,00
16,16,0,01,00,0,00,1,1,0,0,00
17,17,0,01,00,0,00,1,1,0,0,00
18,18,0,01,00,0,00,1,1,0,0,00
19,19,0,01,00,0,00,1,1,0,0,00
20,20,0,01,00,0,00,1,1,0,0,00
21,21,0,01,00,0,00,1,1,0,0,00
22,22,0,01,00,0,00,1,1,0,0,00
23,23,0,01,00,0,00,1,1,0,0,00
24,24,0,01,00,0,00,1,1,0,0,00
25,25,0,01,00,0,00,1,1,0,0,00
26,26,0,01,00,0,00,1,1,0,0,00
27,27,0,01,00,0,00,1,1,0,0,00
28,28,0,01,00,0,00,1,1,0,0,00
29,29,0,01,00,0,00,1,1,0,0,00
30,30,0,01,00,0,00,1,1,0,0,00
31,31,0,01,00,0,00,1,1,0,0,00
32,32,0,01,00,0,00,1,1,0,0,00
33,33,0,01,00,0,00,1,1,0,0,00
34,34,0,01,00,0,00,1,1,0,0,00
35,35,0,01,00,0,00,1,1,0,0,00
36,36,0,01,00,0,00,1,1,0,0,00
37,37,0,01,00,0,00,1,1,0,0,00
38,38,0,01,00,0,00,1,1,0,0,00
39,39,0,01,00,0,00,1,1,0,0,00
40,40,0,01,00,0,00,1,1,0,0,00
41,41,0,01,00,0,00,1,1,0,0,00
42,42,0,01,00,0,00,1,1,0,0,00
43,43,0,01,00,0,00,1,1,0,0,00
44,44,0,01,00,0,00,1,1,0,0,00
45,45,0,01,00,0,00,1,1,0,0,00
46,46,0,01,00,0,00,1,1,0,0,00
47,47,0,01,00,0,00,1,1,0,0,00
48,48,0,01,00,0,00,1,1,0,0,00
49,49,0,01,00,0,00,1,1,0,0,00
50,50,0,01,00,0,00,1,1,0,0,00
51,51,0,01,00,0,00,1,1,0,0,00
52,52,0,01,00,0,00,1,1,0,0,00
53,53,0,01,00,0,00,1,1,0,0,00
54,54,0,01,00,0,00,1,1,0,0,00
55,55,0,01,00,0,00,1,1,0,0,00
56,56,0,01,00,0,00,1,1,0,0,00
57,57,0,01,00,0,00,1,1,0,0,00
58,58,0,01,00,0,00,1,1,0,0,00
59,59,0,01,00,0,00,1,1,0,0,00
60,60,0,01,00,0,00,1,1,0,0,00
61,61,0,01,00,0,00,1,1,0,0,00
62,62,0,01,00,0,00,1,1,0,0,00
63,63,0,01,00,0,00,1,1,0,0,00
64,64,0,01,00,0,00,1,1,0,1,00
65,65,0,01,00,0,00,1,1,0,0,00
66,66,0,01,00,0,00,1,1,0,1,00
67,67,0,01,00,0,00,1,1,0,0,00
68,68,0,01,00,0,00,1,1,0,0,00
69,69,0,01,00,0,00,1,1,0,0,00
70,70,0,01,00,0,00,1,1,0,0,00
71,71,0,01,00,0,00,1,1,0,0,00
72,72,0,01,00,0,00,1,1,0,0,00
73,73,0,01,00,0,00,1,1,1,0,00
74,74,0,01,00,0,00,1,1,1,0,00
75,75,0,01,00,0,00,1,1,1,0,00
76,76,0,01,00,0,00,1,1,1,0,00
77,77,0,01,00,0,00,1,1,1,0,00
78,78,0,01,00,0,00,1,1,1,0,00
79,79,0,01,00,0,00,1,1,1,0,00
80,80,0,01,00,0,00,1,1,1,0,00
81,81,0,01,00,0,00,1,1,1,0,00
82,82,0,01,00,0,00,1,1,1,0,00
83,83,0,01,00,0,00,1,1,1,0,00
84,84,0,01,00,0,00,1,1,1,0,00
85,85,0,01,00,0,00,1,1,1,0,00
86,86,0,01,00,0,00,1,1,1,0,00
87,87,0,01,00,0,00,1,1,1,0,00
88,88,0,01,00,0,00,1,1,1,0,00
89,89,0,01,00,0,00,1,1,1,0,00
90,90,0,01,00,0,00,1,1,1,0,00
91,91,0,01,00,0,00,1,1,1,0,00
92,92,0,01,00,0,00,1,1,1,0,00
93,93,0,01,00,0,00,1,1,1,0,00
94,94,0,01,00,0,00,1,1,1,0,00
95,95,0,01,00,0,00,1,1,1,0,00
96,96,0,01,00,0,00,1,1,1,0,00
97,97,0,01,00,0,00,1,1,1,0,00
98,98,0,01,00,0,00,1,1,1,0,00
99,99,0,01,00,0,00,1,1,1,0,00
100,100,0,01,00,0,00,1,1,1,0,00
101,101,0,01,00,0,00,1,1,1,0,00
102,102,0,01,00,0,00,1,1,1,0,00
103,103,0,01,00,0,00,1,1,1,0,00
104,104,0,01,00,0,00,1,1,1,0,00
105,105,0,01,00,0,00,1,1,1,0,00
106,106,0,01,00,0,00,1,1,1,0,00
107,107,0,01,00,0,00,1,1,1,0,00
108,108,0,01,00,0,00,1,1,1,0,00
109,109,0,01,00,0,00,1,1,1,0,00
110,110,0,01,00,0,00,1,1,1,0,00
111,111,0,01,00,0,00,1,1,1,0,00
112,112,0,01,00,0,00,1,1,1,0,00
113,113,0,01,00,0,00,1,1,1,0,00
114,114,0,01,00,0,00,1,1,1,0,00
115,115,0,01,00,0,00,1,1,1,0,00
116,116,0,01,00,0,00,1,1,1,0,00
117,117,0,01,00,0,00,1,1,1,0,00
118,118,0,01,00,0,00,1,1,1,0,00
119,119,0,01,00,0,00,1,1,1,0,00
120,120,0,01,00,0,00,1,1,1,0,00
121,121,0,01,00,0,00,1,1,1,0,00
122,122,0,01,00,0,00,1,1,1,0,00
123,123,0,01,00,0,00,1,1,1,0,00
124,124,0,01,01,0,00,1,1,1,0,00
125,125,1,01,01,0,01,1,1,1,0,00
126,126,0,01,01,0,00,1,1,1,0,00
127,127,0,01,01,3,00,1,1,1,0,00
128,128,0,01,01,3,00,1,1,1,0,00
129,129,0,00,00,3,00,1,1,1,0,00
130,130,0,00,00,3,00,1,1,1,0,00
131,131,0,00,00,3,00,1,1,1,0,00
132,132,0,00,00,3,00,1,1,1,0,00
133,133,0,00,00,3,00,1,1,1,0,00
134,134,0,00,00,4,00,1,1,1,0,00
135,135,0,00,00,4,00,1,1,1,0,00
136,136,0,00,00,4,00,1,1,1,0,00
137,137,0,00,00,4,00,1,1,1,0,00
138,138,0,00,00,4,00,1,1,1,0,00
139,139,0,00,00,4,00,1,1,1,0,00
140,140,0,00,00,4,00,1,1,1,0,00
141,141,0,00,00,1,00,1,1,1,0,00
142,142,0,00,00,1,00,1,1,1,0,00
143,143,0,00,00,1,00,1,1,1,0,00
144,144,0,00,00,1,00,1,1,1,0,00
145,145,0,00,00,1,00,1,1,1,0,00
146,146,0,00,00,1,00,1,1,1,0,00
147,147,0,00,00,1,00,1,1,1,0,00
148,148,0,00,00,2,00,1,1,1,0,00
149,149,0,00,00,2,00,1,1,1,0,00
150,150,0,00,00,2,00,1,1,1,0,00
151,151,0,00,00,2,00,1,1,1,0,00
152,152,0,00,00,2,00,1,1,1,0,00
153,153,0,00,00,2,00,1,1,1,0,00
154,154,0,00,00,2,00,1,1,1,0,00
155,155,0,00,00,6,00,1,1,1,0,00
156,156,0,00,00,6,00,1,1,1,0,00
157,157,0,00,00,6,00,1,1,1,0,00
158,158,0,00,00,6,00,1,1,1,0,00
159,159,0,00,00,6,00,1,1,1,0,00
160,160,0,00,00,6,00,1,1,1,0,00
161,161,0,00,00,6,00,1,1,1,0,00
162,162,0,00,00,7,00,1,1,1,0,00
163,163,0,00,00,7,00,1,1,1,0,00
164,164,0,00,00,7,00,1,1,1,0,00
165,165,0,00,00,7,00,1,1,1,0,00
166,166,0,00,00,7,00,1,1,1,0,00
167,167,0,00,00,7,00,1,1,1,0,00
168,168,0,00,00,7,00,1,1,1,0,00
169,169,0,00,00,8,00,1,1,1,0,00
170,170,0,00,00,8,00,1,1,1,0,00
171,171,0,00,00,8,00,1,1,1,0,00
172,172,0,00,00,8,00,1,1,1,0,00
173,173,0,00,00,8,00,1,1,1,0,00
174,174,0,00,00,8,00,1,1,1,0,00
175,175,0,00,00,8,00,1,1,1,0,00
176,176,0,00,00,9,00,1,1,1,0,00
177,177,0,00,00,9,00,1,1,1,0,00
178,178,0,00,00,9,00,1,1,1,0,00
179,179,0,00,00,9,00,1,1,1,0,00
180,180,0,00,00,9,00,1,1,1,0,00
181,181,0,00,00,9,00,1,1,1,0,00
182,182,0,00,00,9,00,1,1,1,0,00
183,183,0,00,00,a,00,1,1,1,0,00
184,184,0,00,00,a,00,1,1,1,0,00
185,185,0,00,00,a,00,1,1,1,0,00
186,186,0,00,00,a,00,1,1,1,0,00
187,187,0,00,00,a,00,1,1,1,0,00
188,188,0,00,00,a,00,1,1,1,0,00
189,189,0,00,00,a,00,1,1,1,0,00
190,190,0,00,00,b,00,1,1,1,0,00
191,191,0,00,00,b,00,1,1,1,0,00
192,192,0,00,00,b,00,1,1,1,0,00
193,193,0,00,00,b,00,1,1,1,0,00
194,194,0,00,00,b,00,1,1,1,0,00
195,195,0,00,00,b,00,1,1,1,0,00
196,196,0,00,00,b,00,1,1,1,0,00
197,197,0,00,00,b,00,1,1,1,0,00
198,198,0,00,00,b,00,1,1,1,0,00
199,199,0,00,00,b,00,1,1,1,0,00
200,200,0,00,00,b,00,1,1,1,0,00
201,201,0,00,00,b,00,1,1,1,0,00
202,202,0,00,00,b,00,1,1,1,0,00
203,203,0,00,00,b,00,1,1,1,0,00
204,204,0,00,00,b,00,1,1,1,0,00
205,205,0,00,00,b,00,1,1,1,0,00
206,206,0,00,00,b,00,1,1,1,0,00
207,207,0,00,00,b,00,1,1,1,0,00
208,208,0,00,00,b,00,1,1,1,0,00
209,209,0,00,00,b,00,1,1,1,0,00
210,210,0,00,00,b,00,1,1,1,0,00
211,211,0,00,00,b,00,1,1,1,0,00
212,212,0,00,00,b,00,1,1,1,0,00
213,213,0,00,00,b,00,1,1,1,0,00
214,214,0,00,00,b,00,1,1,1,0,00
215,215,0,00,00,b,00,1,1,1,0,00
216,216,0,00,00,b,00,1,1,1,0,00
217,217,0,00,00,b,00,1,1,1,0,00
218,218,0,00,00,b,00,1,1,1,0,00
219,219,0,00,00,b,00,1,1,1,0,00
220,220,0,00,00,b,00,1,1,1,0,00
221,221,0,00,00,b,00,1,1,1,0,00
222,222,0,00,00,b,00,1,1,1,0,00
223,223,0,00,00,b,00,1,1,1,0,00
224,224,0,00,00,b,00,1,1,1,0,00
225,225,0,00,00,b,00,1,1,1,0,00
226,226,0,00,00,b,00,1,1,1,0,00
227,227,0,00,00,b,00,1,1,1,0,00
228,228,0,00,00,b,00,1,1,1,0,00
229,229,0,00,00,b,00,1,1,1,0,00
230,230,0,00,00,b,00,1,1,1,0,00
231,231,0,00,00,b,00,1,1,1,0,00
232,232,0,00,00,b,00,1,1,1,0,00
233,233,0,00,00,b,00,1,1,1,0,00
234,234,0,00,00,b,00,1,1,1,0,00
235,235,0,00,00,b,00,1,1,1,0,00
236,236,0,00,00,b,00,1,1,1,0,00
237,237,0,00,00,b,00,1,1,1,0,00
238,238,0,00,00,b,00,1,1,1,0,00
239,239,0,00,00,b,00,1,1,1,0,00
240,240,0,00,00,b,00,1,1,1,0,00
241,241,0,00,00,b,00,1,1,1,0,00
242,242,0,00,00,b,00,1,1,1,0,00
243,243,0,00,00,b,00,1,1,1,0,00
244,244,0,00,00,b,00,1,1,1,0,00
245,245,0,00,00,b,00,1,1,1,0,00
246,246,0,00,00,b,00,1,1,1,0,00
247,247,0,00,00,b,00,1,1,1,0,00
248,248,0,00,00,b,00,1,1,1,0,00
249,249,0,00,00,b,00,1,1,1,0,00
250,250,0,00,00,b,00,1,1,1,0,00
251,251,0,00,00,b,00,1,1,1,0,00
252,252,0,00,00,b,00,1,1,1,0,00
253,253,0,00,00,b,00,1,1,1,0,00
254,254,0,00,00,b,00,1,1,1,0,00
255,255,0,00,00,b,00,1,1,1,0,00
256,256,0,00,00,b,00,1,1,1,0,00
257,257,0,00,00,b,00,1,1,1,0,00
258,258,0,00,00,b,00,1,1,1,0,00
259,259,0,00,00,b,00,1,1,1,0,00
260,260,0,00,00,b,00,1,1,1,0,00
261,261,0,00,00,b,00,1,1,1,0,00
262,262,0,00,00,b,00,1,1,1,0,00
263,263,0,00,00,b,00,1,1,1,0,00
264,264,0,00,00,b,00,1,1,1,0,00
265,265,0,00,00,b,00,1,1,1,0,00
266,266,0,00,00,b,00,1,1,1,0,00
267,267,0,00,00,b,00,1,1,1,0,00
268,268,0,00,00,b,00,1,1,1,0,00
269,269,0,00,00,b,00,1,1,1,0,00
270,270,0,00,00,b,00,1,1,1,0,00
271,271,0,00,00,b,00,1,1,1,0,00
272,272,0,00,00,b,00,1,1,1,0,00
273,273,0,00,00,b,00,1,1,1,0,00
274,274,0,00,00,b,00,1,1,1,0,00
275,275,0,00,00,b,00,1,1,1,0,00
276,276,0,00,00,b,00,1,1,1,0,00
277,277,0,00,00,b,00,1,1,1,0,00
278,278,0,00,00,b,00,1,1,1,0,00
279,279,0,00,00,b,00,1,1,1,0,00
280,280,0,00,00,b,00,1,1,1,0,00
281,281,0,00,00,b,00,1,1,1,0,00
282,282,0,00,00,b,00,1,1,1,0,00
283,283,0,00,00,b,00,1,1,1,0,00
284,284,0,00,00,b,00,1,1,1,0,00
285,285,0,00,00,b,00,1,1,1,0,00
286,286,0,00,00,b,00,1,1,1,0,00
287,287,0,00,00,b,00,1,1,1,0,00
288,288,0,00,00,b,00,1,1,1,0,00
289,289,0,00,00,b,00,1,1,1,0,00
290,290,0,00,00,b,00,1,1,1,0,00
291,291,0,00,00,b,00,1,1,1,0,00
292,292,0,00,00,b,00,1,1,1,0,00
293,293,0,00,00,b,00,1,1,1,0,00
294,294,0,00,00,b,00,1,1,1,0,00
295,295,0,00,00,b,00,1,1,1,0,00
296,296,0,00,00,b,00,1,1,1,0,00
297,297,0,00,00,b,00,1,1,1,0,00
298,298,0,00,00,b,00,1,1,1,0,00
299,299,0,00,00,b,00,1,1,1,0,00
300,300,0,00,00,b,00,1,1,1,0,00
301,301,0,00,00,b,00,1,1,1,0,00
302,302,0,00,00,b,00,1,1,1,0,00
303,303,0,00,00,b,00,1,1,1,0,00
304,304,0,00,00,b,00,1,1,1,0,00
305,305,0,00,00,b,00,1,1,1,0,00
306,306,0,00,00,b,00,1,1,1,0,00
307,307,0,00,00,b,00,1,1,1,0,00
308,308,0,00,00,b,00,1,1,1,0,00
309,309,0,00,00,b,00,1,1,1,0,00
310,310,0,00,00,b,00,1,1,1,0,00
311,311,0,00,00,b,00,1,1,1,0,00
312,312,0,00,00,b,00,1,1,1,0,00
313,313,0,00,00,b,00,1,1,1,0,00
314,314,0,00,00,b,00,1,1,1,0,00
315,315,0,00,00,b,00,1,1,1,0,00
316,316,0,00,00,b,00,1,1,1,0,00
317,317,0,00,00,b,00,1,1,1,0,00
318,318,0,00,00,b,00,1,1,1,0,00
319,319,0,00,00,b,00,1,1,1,0,00
320,320,0,00,00,b,00,1,1,1,0,00
321,321,0,00,00,b,00,1,1,1,0,00
322,322,0,00,00,b,00,1,1,1,0,00
323,323,0,00,00,b,00,1,1,1,0,00
324,324,0,00,00,b,00,1,1,1,0,00
325,325,0,00,00,b,00,1,1,1,0,00
326,326,0,00,00,b,00,1,1,1,0,00
327,327,0,00,00,b,00,1,1,1,0,00
328,328,0,00,00,b,00,1,1,1,0,00
329,329,0,00,00,b,00,1,1,1,0,00
330,330,0,00,00,b,00,1,1,1,0,00
331,331,0,00,00,b,00,1,1,1,0,00
332,332,0,00,00,b,00,1,1,1,0,00
333,333,0,00,00,b,00,1,1,1,0,00
334,334,0,00,00,b,00,1,1,1,0,00
335,335,0,00,00,b,00,1,1,1,0,00
336,336,0,00,00,b,00,1,1,1,0,00
337,337,0,00,00,b,00,1,1,1,0,00
338,338,0,00,00,b,00,1,1,1,0,00
339,339,0,00,00,b,00,1,1,1,0,00
340,340,0,00,00,b,00,1,1,1,0,00
341,341,0,00,00,b,00,1,1,1,0,00
342,342,0,00,00,b,00,1,1,1,0,00
343,343,0,00,00,b,00,1,1,1,0,00
344,344,0,00,00,b,00,1,1,1,0,00
345,345,0,00,00,b,00,1,1,1,0,00
346,346,0,00,00,b,00,1,1,1,0,00
347,347,0,00,00,b,00,1,1,1,0,00
348,348,0,00,00,b,00,1,1,1,0,00
349,349,0,00,00,b,00,1,1,1,0,00
350,350,0,00,00,b,00,1,1,1,0,00
351,351,0,00,00,b,00,1,1,1,0,00
352,352,0,00,00,b,00,1,1,1,0,00
353,353,0,00,00,b,00,1,1,1,0,00
354,354,0,00,00,b,00,1,1,1,0,00
355,355,0,00,00,b,00,1,1,1,0,00
356,356,0,00,00,b,00,1,1,1,0,00
357,357,0,00,00,b,00,1,1,1,0,00
358,358,0,00,00,b,00,1,1,1,0,00
359,359,0,00,00,b,00,1,1,1,0,00
360,360,0,00,00,b,00,1,1,1,0,00
361,361,0,00,00,b,00,1,1,1,0,00
362,362,0,00,00,b,00,1,1,1,0,00
363,363,0,00,00,b,00,1,1,1,0,00
364,364,0,00,00,b,00,1,1,1,0,00
365,365,0,00,00,b,00,1,1,1,0,00
366,366,0,00,00,b,00,1,1,1,0,00
367,367,0,00,00,b,00,1,1,1,0,00
368,368,0,00,00,b,00,1,1,1,0,00
369,369,0,00,00,b,00,1,1,1,0,00
370,370,0,00,00,b,00,1,1,1,0,00
371,371,0,00,00,b,00,1,1,1,0,00
372,372,0,00,00,b,00,1,1,1,0,00
373,373,0,00,00,b,00,1,1,1,0,00
374,374,0,00,00,b,00,1,1,1,0,00
375,375,0,00,00,b,00,1,1,1,0,00
376,376,0,00,00,b,00,1,1,1,0,00
377,377,0,00,00,b,00,1,1,1,0,00
378,378,0,00,00,b,00,1,1,1,0,00
379,379,0,00,00,b,00,1,1,1,0,00
380,380,0,00,00,b,00,1,1,1,0,00
381,381,0,00,00,b,00,1,1,1,0,00
382,382,0,00,00,b,00,1,1,1,0,00
383,383,0,00,00,b,00,1,1,1,0,00
384,384,0,00,00,b,00,1,1,1,0,00
385,385,0,00,00,b,00,1,1,1,0,00
386,386,0,00,00,b,00,1,1,1,0,00
387,387,0,00,00,b,00,1,1,1,0,00
388,388,0,00,00,b,00,1,1,1,0,00
389,389,0,00,00,b,00,1,1,1,0,00
390,390,0,00,00,b,00,1,1,1,0,00
391,391,0,00,00,b,00,1,1,1,0,00
392,392,0,00,00,b,00,1,1,1,0,00
393,393,0,00,00,b,00,1,1,1,0,00
394,394,0,00,00,b,00,1,1,1,0,00
395,395,0,00,00,b,00,1,1,1,0,00
396,396,0,00,00,b,00,1,1,1,0,00
397,397,0,00,00,b,00,1,1,1,0,00
398,398,0,00,00,b,00,1,1,1,0,00
399,399,0,00,00,b,00,1,1,1,0,00
400,400,0,00,00,b,00,1,1,1,0,00
401,401,0,00,00,b,00,1,1,1,0,00
402,402,0,00,00,b,00,1,1,1,0,00
403,403,0,00,00,b,00,1,1,1,0,00
404,404,0,00,00,b,00,1,1,1,0,00
405,405,0,00,00,b,00,1,1,1,0,00
406,406,0,00,00,b,00,1,1,1,0,00
407,407,0,00,00,b,00,1,1,1,0,00
408,408,0,00,00,b,00,1,1,1,0,00
409,409,0,00,00,b,00,1,1,1,0,00
410,410,0,00,00,b,00,1,1,1,0,00
411,411,0,00,00,b,00,1,1,1,0,00
412,412,0,00,00,b,00,1,1,1,0,00
413,413,0,00,00,b,00,1,1,1,0,00
414,414,0,00,00,b,00,1,1,1,0,00
415,415,0,00,00,b,00,1,1,1,0,00
416,416,0,00,00,b,00,1,1,1,0,00
417,417,0,00,00,b,00,1,1,1,0,00
418,418,0,00,00,b,00,1,1,1,0,00
419,419,0,00,00,b,00,1,1,1,0,00
420,420,0,00,00,b,00,1,1,1,0,00
421,421,0,00,00,b,00,1,1,1,0,00
422,422,0,00,00,b,00,1,1,1,0,00
423,423,0,00,00,b,00,1,1,1,0,00
424,424,0,00,00,b,00,1,1,1,0,00
425,425,0,00,00,b,00,1,1,1,0,00
426,426,0,00,00,b,00,1,1,1,0,00
427,427,0,00,00,b,00,1,1,1,0,00
428,428,0,00,00,b,00,1,1,1,0,00
429,429,0,00,00,b,00,1,1,1,0,00
430,430,0,00,00,b,00,1,1,1,0,00
431,431,0,00,00,b,00,1,1,1,0,00
432,432,0,00,00,b,00,1,1,1,0,00
433,433,0,00,00,b,00,1,1,1,0,00
434,434,0,00,00,b,00,1,1,1,0,00
435,435,0,00,00,b,00,1,1,1,0,00
436,436,0,00,00,b,00,1,1,1,0,00
437,437,0,00,00,b,00,1,1,1,0,00
438,438,0,00,00,b,00,1,1,1,0,00
439,439,0,00,00,b,00,1,1,1,0,00
440,440,0,00,00,b,00,1,1,1,0,00
441,441,0,00,00,b,00,1,1,1,0,00
442,442,0,00,00,b,00,1,1,1,0,00
443,443,0,00,00,b,00,1,1,1,0,00
444,444,0,00,00,b,00,1,1,1,0,00
445,445,0,00,00,b,00,1,1,1,0,00
446,446,0,00,00,b,00,1,1,1,0,00
447,447,0,00,00,b,00,1,1,1,0,00
448,448,0,00,00,b,00,1,1,1,0,00
449,449,0,00,00,b,00,1,1,1,0,00
450,450,0,00,00,b,00,1,1,1,0,00
451,451,0,00,00,b,00,1,1,1,0,00
452,452,0,00,00,b,00,1,1,1,0,00
453,453,0,00,00,b,00,1,1,1,0,00
454,454,0,00,00,b,00,1,1,1,0,00
455,455,0,00,00,b,00,1,1,1,0,00
456,456,0,00,00,b,00,1,1,1,0,00
457,457,0,00,00,b,00,1,1,1,0,00
458,458,0,00,00,b,00,1,1,1,0,00
459,459,0,00,00,b,00,1,1,1,0,00
460,460,0,00,00,b,00,1,1,1,0,00
461,461,0,00,00,b,00,1,1,1,0,00
462,462,0,00,00,b,00,1,1,1,0,00
463,463,0,00,00,b,00,1,1,1,0,00
464,464,0,00,00,b,00,1,1,1,0,00
465,465,0,00,00,b,00,1,1,1,0,00
466,466,0,00,00,b,00,1,1,1,0,00
467,467,0,00,00,b,00,1,1,1,0,00
468,468,0,00,00,b,00,1,1,1,0,00
469,469,0,00,00,b,00,1,1,1,0,00
470,470,0,00,00,b,00,1,1,1,0,00
471,471,0,00,00,b,00,1,1,1,0,00
472,472,0,00,00,b,00,1,1,1,0,00
473,473,0,00,00,b,00,1,1,1,0,00
474,474,0,00,00,b,00,1,1,1,0,00
475,475,0,00,00,b,00,1,1,1,0,00
476,476,0,00,00,b,00,1,1,1,0,00
477,477,0,00,00,b,00,1,1,1,0,00
478,478,0,00,00,b,00,1,1,1,0,00
479,479,0,00,00,b,00,1,1,1,0,00
480,480,0,00,00,b,00,1,1,1,0,00
481,481,0,00,00,b,00,1,1,1,0,00
482,482,0,00,00,b,00,1,1,1,0,00
483,483,0,00,00,b,00,1,1,1,0,00
484,484,0,00,00,b,00,1,1,1,0,00
485,485,0,00,00,b,00,1,1,1,0,00
486,486,0,00,00,b,00,1,1,1,0,00
487,487,0,00,00,b,00,1,1,1,0,00
488,488,0,00,00,b,00,1,1,1,0,00
489,489,0,00,00,b,00,1,1,1,0,00
490,490,0,00,00,b,00,1,1,1,0,00
491,491,0,00,00,b,00,1,1,1,0,00
492,492,0,00,00,b,00,1,1,1,0,00
493,493,0,00,00,b,00,1,1,1,0,00
494,494,0,00,00,b,00,1,1,1,0,00
495,495,0,00,00,b,00,1,1,1,0,00
496,496,0,00,00,b,00,1,1,1,0,00
497,497,0,00,00,b,00,1,1,1,0,00
498,498,0,00,00,b,00,1,1,1,0,00
499,499,0,00,00,b,00,1,1,1,0,00
500,500,0,00,00,b,00,1,1,1,0,00
501,501,0,00,00,b,00,1,1,1,0,00
502,502,0,00,00,b,00,1,1,1,0,00
503,503,0,00,00,b,00,1,1,1,0,00
504,504,0,00,00,b,00,1,1,1,0,00
505,505,0,00,00,b,00,1,1,1,0,00
506,506,0,00,00,b,00,1,1,1,0,00
507,507,0,00,00,b,00,1,1,1,0,00
